parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
RAINF,1/9/2017 21:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/9/2017 22:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/9/2017 23:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 2:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 3:00,0,,0,,0,,0,,0,B,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 4:00,0,,0,,0,,0,,0,B,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 5:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 7:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 8:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 9:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 10:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 11:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 13:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 16:00,0,,0,p,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 17:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 18:00,0,,0,p,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 19:00,0,,0,p,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 20:00,0,,0,p,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 21:00,0,,0,p,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 22:00,0,,0,p,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/10/2017 23:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 2:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 3:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 4:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 5:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 7:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 8:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 9:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 10:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 11:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 13:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 14:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 16:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 17:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 18:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 19:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 20:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 21:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 22:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/11/2017 23:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 2:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 3:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 4:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 5:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 6:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 7:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 8:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 9:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 10:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 11:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 13:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 16:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 17:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 18:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 19:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 20:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 21:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 22:00,0,,0,,0,p,0,,0,p,0,,0,,0,,0,p,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/12/2017 23:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 1:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 2:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 3:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 4:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 5:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 6:00,0,,0,,,x,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 7:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 8:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 9:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 10:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 11:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 13:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 16:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 17:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 18:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 19:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 20:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 21:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 22:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/13/2017 23:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,p,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 1:00,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 2:00,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 3:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 4:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 5:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 7:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 8:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 9:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 10:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 11:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 13:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 16:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 17:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 18:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 19:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 20:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 21:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 22:00,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/14/2017 23:00,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 2:00,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 3:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 4:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 5:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 7:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 8:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 9:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 10:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 11:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 12:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 13:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 16:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 17:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 18:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 19:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 20:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 21:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 22:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/15/2017 23:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 2:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 3:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 4:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 5:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 7:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 8:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 9:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 10:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 11:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 13:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 16:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 17:00,0,,0,,0,,0,,0,p,0,,0,,0,p,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 18:00,0,,0,,0,,0,,0,p,0,,0,,0,p,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 19:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 20:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 21:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 22:00,0,,0,,0,,0,,0,p,0,,0,,0,p,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/16/2017 23:00,0,,0,,0,,0,,0,p,0,,0,,0,p,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 2:00,0,,0,,0,,0,,0,,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 3:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 4:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 5:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 7:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 8:00,0,,0,,0,,0,,0,,0,,0,,0,p,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 9:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,p,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 10:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 11:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 13:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 14:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 15:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 16:00,0,,0,p,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 17:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 18:00,0,,0,p,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 19:00,0,,0,,0,,0,,0,p,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 20:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 21:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 22:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/17/2017 23:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 1:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 2:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 3:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 4:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 5:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 6:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 7:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 8:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 9:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 10:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 11:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 12:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 13:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 14:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 15:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 16:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 17:00,0,,0,,0,p,0,,0,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 18:00,0,,0,,0,,0,,0,,0,,0,,0,,0.02,,0,,ND,ND,ND,ND,ND,ND
RAINF,1/18/2017 19:00,0,,0,,0,,0,,0.01,,0,,0,,0,,0,,0,,ND,ND,ND,ND,ND,ND
